anbre,13.8166667,-60.9166667
angere,13.7833333,-60.9166667
annus,13.7666667,-61.0
anse canot,13.9,-60.9
anse ger,13.7833333,-60.8833333
anse la raye,13.9333333,-61.0333333
anse la verdure,13.9,-61.05
anse noir,13.7333333,-60.9833333
augier,13.75,-60.9666667
babonneau,14.0,-60.9333333
balambouche,13.75,-61.0166667
balata,14.0,-60.95
balca,13.7666667,-61.0166667
banse,13.7666667,-60.9833333
beausejour,13.8166667,-61.05
belair,13.95,-60.9833333
belle plain,13.8166667,-61.0333333
belle vue,13.8333333,-61.0666667
belle vue,13.7833333,-60.95
belmont,13.9333333,-60.9166667
belvedere,13.8833333,-61.05
berre denis,13.9666667,-60.9833333
bexon,13.95,-60.9666667
bisee,14.0166667,-60.9666667
blanchard,13.8,-60.9333333
bois dorange,14.05,-60.9666667
bois joli,13.9,-60.8833333
bosquet dor,13.9166667,-60.9
bouton,13.8666667,-61.0666667
cafeiere,13.7833333,-61.0333333
canaries,13.9,-61.0666667
cap estate,14.0833333,-60.95
carriee,13.7666667,-60.95
castries,14.0,-61.0
charlotre,14.0,-60.9833333
chassin,13.9833333,-60.9166667
chateau belair,13.8,-61.05
choc,14.0333333,-60.9666667
choiseuil,13.7666667,-61.05
ciceron,13.9833333,-61.0
colombette,13.85,-61.05
dame de traversay,13.9166667,-60.9833333
daubaigon,13.8333333,-60.9166667
dauphin,14.0333333,-60.9
debreuil,13.7833333,-61.0166667
deglos,13.9666667,-60.9666667
delcer,13.7833333,-61.05
derniere riviere,13.95,-60.9166667
derriere lagoon,13.9333333,-61.0
derriere morne,13.7333333,-60.95
desbarra,13.9833333,-60.9
despinoze,13.9333333,-60.9
desruisseau,13.7833333,-60.9333333
doree,13.75,-61.0333333
dugard,13.8,-61.0333333
dugard,13.8,-60.9
eau piquant,13.75,-60.9333333
floissac,13.95,-60.95
fond devaux,13.85,-60.9166667
fond dor,13.8,-60.9166667
fond saint jacques,13.8333333,-61.0166667
forestiere,13.9666667,-60.95
garrand,14.0,-60.9166667
girard,13.9833333,-60.95
grace,13.7666667,-60.9666667
grand anse,14.0,-60.9
grande riviere,13.9166667,-60.9166667
gros ilet,14.0666667,-60.95
herelle,13.75,-60.9833333
incommode,13.9833333,-60.9833333
labbayee,13.9333333,-60.9666667
la borne,14.0333333,-60.9166667
la croix maingot,13.95,-61.0
la fague,13.7666667,-61.0333333
la feuillet,14.05,-60.9333333
la haut,13.7833333,-61.0
la pointe,13.9833333,-61.0333333
la pointe,13.8333333,-60.9
lhermitage,14.0166667,-60.9166667
livrogne,13.8,-61.0666667
mahaut,13.8333333,-60.95
mahaut,13.8833333,-61.0666667
malgretoute,13.8333333,-61.05
marigot bay,13.95,-61.0166667
marigot,13.9666667,-61.0
marquis,14.0166667,-60.9
micoud,13.8166667,-60.9
millet,13.9,-60.9833333
monchy,14.05,-60.9166667
mondesir,13.8,-61.0166667
mongiraud,14.05,-60.95
monier,14.0166667,-60.9333333
mon repos,13.85,-60.8833333
morne doudon,14.0,-60.9666667
morne paul,13.75,-61.0
morne serpent,14.0166667,-60.95
moule a chique,13.7,-60.9333333
old settlement,13.8833333,-60.9
palmiste,13.8666667,-61.05
patience,13.85,-60.9
pointe sable,13.75,-60.95
praslin,13.8666667,-60.9
resinard,13.9833333,-60.9333333
rouarne,13.7666667,-60.9166667
saltibus,13.8,-61.0
sarot,13.9333333,-60.9833333
savannes,13.7666667,-60.9333333
theodorine,13.9166667,-61.0333333
vieux fort,13.7166667,-60.95
vieux sucreic,14.0333333,-60.9333333
vigie,14.0333333,-61.0166667
