back salina,21.45,-71.1333333
balfour town,21.3166667,-71.2166667
bambarra,21.8166667,-71.7166667
blue hills,21.8,-72.2833333
bottle creek settlements,21.8833333,-71.9166667
cockburn harbour,21.4833333,-71.5333333
cockburn town,21.4666667,-71.1333333
conch bar,21.8333333,-71.7833333
five cays settlement,21.75,-72.25
greenwich,21.95,-71.9333333
kew,21.9,-72.0333333
lorimers,21.7833333,-71.6833333
sandy point,21.95,-72.0333333
the bight settlements,21.7833333,-72.2
whitby,21.95,-71.9666667
yankee town,21.65,-72.4666667
